id,type,domain,enabled,date_added,date_modified,comment
197,1,ainelabid14.ahlamontada.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
198,1,tvids.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
199,1,philly.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
200,1,vype.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
201,1,arena.wix.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
202,1,fullprogs.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
203,1,kisseo.es,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
204,1,n7anime.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
205,1,modernhiker.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
206,1,booktorrent.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
207,1,shqiptvlive.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
208,1,insanevisions.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
209,1,woonsocketcall.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
210,1,mathlycee.ahlamontada.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
211,1,asiandramasonline.org,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
212,1,tv9live.in,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
213,1,fangirlish.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
214,1,sitebooster.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
215,1,gifprikol.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
216,1,onlain-clip.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
217,1,mammothtimes.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
218,1,101progs.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
219,1,anekdotonline.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
220,1,rzhom.narod.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
221,1,silvertails.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
222,1,usagoals.me,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
223,1,almolok.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
224,1,confitdent.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
225,1,moviemistakes.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
226,1,stylefashionista.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
227,1,pawtuckettimes.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
228,1,choisebestedu.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
229,1,radioamator.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
230,1,arcadespot.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
